index,movieName,databaseId,movielensId
204,The Adventures of Pinocchio (1996),78929,828
205,Man-Proof (1938),78943,123401
206,It's a Free World... (2007),78950,58029
207,Norbit (2007),78958,50806
208,The Haunting (1999),78977,2719
209,Outland (1981),79001,4443
210,Thelma,79045,178335
211,Alien (1979),79062,1214
212,Bullets over Broadway (1994),79072,-1
213,Raging Bull (1980),79106,1228
214,Uprising (2001),79114,27372
215,Dances with Wolves (1990),79136,590
216,For a Few Dollars More (1965),79142,-1
217,Oz the Great and Powerful (2013),79153,101112
218,Giant (1956),79187,948
219,The Wild Geese (1978),79205,40973
220,May (2002),79206,6063
221,Absolutely Anything (2015),79266,135885
222,West Side Story (1961),79278,1947
223,Bitter Harvest (2016),79284,-1
224,The Parent Trap (1961),79289,1013
225,Open Season (2006),79313,48414
226,Contact (2009),79320,-1
227,The Other Sister (1999),79341,2506
228,"The Way, Way Back (2013)",79370,102993
229,Chicken Little (2005),79379,40339
230,Night of the Living Dead (1968),79385,968
231,Anatomy of a Murder (1959),79401,3801
232,Mortal Kombat: Rebirth (2010),79407,-1
233,Kubo and the Two Strings (2016),79408,162578
234,Machete Kills (2013),79421,-1
235,Cannibal! The Musical (1993),79429,-1
236,Wild Thing (1987),79439,130237
237,Predator,79451,3527
238,The Tree of Life (2011),79464,86898
239,Dragnet (1987),79468,7102
240,Monster House (2006),79512,46948
241,Air Bud (1997),79543,1592
242,The Disappearance of McKinley Nolan (2010),79553,-1
243,Drag Me to Hell (2009),79665,68952
244,"Greystoke: The Legend of Tarzan, Lord of the Apes (1984)",79689,6991
245,The Hurt Locker (2008),79698,69481
246,Fat Albert (2004),79707,30883
247,The Last Boy Scout (1991),79743,7007
248,China (2016),79750,-1
249,8 Heads in a Duffel Bag (1997),79752,1503
250,Bully (2001),79755,4450
251,Gran Torino (2008),79779,64614
252,Homeward Bound II: Lost in San Francisco (1996),79811,609
253,We're Back! A Dinosaur's Story (1993),79815,3400
254,The Divergent Series: Insurgent (2015),79824,-1
255,The Skeleton Key (2005),79834,34532
256,The Mask (1988),79851,156708
257,The Time Machine (2002),79856,5171
258,The Bible: In the Beginning... (1966),79863,-1
259,Puncture (2011),79888,90471
260,The Debt (2010),79894,-1
261,The Gladiator (1986),79924,-1
262,Fifty Shades of Grey (2015),79935,125916
263,Deranged (1974),79945,8139
264,A Christmas Carol (2009),79954,72294
265,Split (2017),79968,166534
266,Bully (2011),79978,94130
267,Cinderella (1994),79989,-1
268,The Amazing Spider-Man 2 (2014),80009,110553
269,Maverick (1994),80014,368
270,War of the Buttons (2011),80024,145731
271,Lady in White (1988),80038,-1
272,Toy Story (1995),80067,1
273,Home for Christmas (2010),80074,-1
274,Can't Hardly Wait,80108,1895
275,Omen (2003),80131,-1
276,Project A (1983),80133,-1
277,Boy Wonder (2010),80178,106254
278,Planes: Fire & Rescue (2014),80188,112460
279,Boat Trip (2002),80203,-1
280,The Devil Wears Prada (2006),80208,45720
281,A Serious Man (2009),80213,71464
282,Jennifer's Body (2009),80235,71205
283,Annie (1982),80240,4039
284,Zinda (2006),80264,-1
285,The Lion King II: Simba's Pride (1998),80284,-1
286,Die,80289,100056
287,The Creeper (1948),80306,-1
288,Mission: Impossible,80325,648
289,Annie (2014),80336,120132
290,Under the Shadow (2016),80429,155625
291,Jaws in Japan (2009),80442,-1
292,F (2010),80446,-1
293,Friday After Next (2002),80448,5874
294,A Simple Plan (1998),80519,2391
295,I Am Really Sorry (1976),80534,-1
296,Dragonball Evolution (2009),80576,67867
297,The Handmaiden (2016),80587,158783
298,All's Faire in Love (2009),80598,98842
299,Godzilla: Tokyo S.O.S. (2003),80603,-1
300,Moses (1995),80649,161496
301,The Cat and the Kit (1925),80683,-1
302,Sister Act (1992),80685,3247
303,Wild (2016),80691,158840
304,Anaconda (1997),80699,1499
305,Next of Kin (1989),80716,4629
306,Boiler Room (2000),80769,3298
307,Vengeance (1968),80811,142352
308,Early Man,80865,183833
309,"Good Morning, Vietnam (1987)",80886,3448
310,The Cave (2005),80918,36509
311,Night Falls on Manhattan (1997),80966,-1
312,The Great Beauty (2013),80981,-1
313,Boo! A Madea Halloween (2016),80985,168408
314,Police Academy,81006,2378
315,Third Man on the Mountain (1959),81024,-1
316,We're the Millers (2013),81075,104211
317,Cube 2: Hypercube (2002),81078,27482
318,How to Train Your Dragon 2 (2014),81080,112175
319,Holidays (2016),81087,157881
320,X (1986),81108,-1
321,It Comes at Night (2017),81135,170945
322,Friday (1995),81162,69
323,Date with an Angel (1987),81165,3393
324,The Pacifist (1970),81196,158799
325,Freebie and the Bean (1974),81209,61934
326,Religulous (2008),81232,59126
327,S (2012),81234,-1
328,Them! (1954),81265,2287
329,Movie 43 (2013),81296,100083
330,Haunted Rooh (2016),81307,-1
331,Johnny Be Good (1988),81316,4516
332,Waiting for Forever (2010),81317,89217
333,Once Upon a Time in China,81353,-1
334,Fargo (1996),81385,608
335,The Mission (1986),81415,2745
336,The Man in the Moon (1991),81416,4061
337,A Serbian Film (2010),81432,-1
338,Annie (1976),81468,129374
339,The Rise of the Krays (2015),81469,141916
340,Captain Corelli's Mandolin (2001),81474,4727
341,Triangle (2009),81475,74228
342,Dinosaur (2000),81492,3615
343,Black Beauty (1971),81530,8929
344,Lego Marvel Super Heroes: Maximum Overload (2013),81559,-1
345,Batman Returns (1992),81563,1377
346,Flight (2012),81568,97923
347,The Purple Rose of Cairo (1985),81617,2065
348,Expelled from Paradise,81625,117446
349,13 Going on 30 (2004),81660,7444
350,Life (2007),81669,-1
351,Hall Pass,81702,85022
352,The Importance of Being Earnest (2002),81715,5380
353,"Red Firecracker, Green Firecracker (1994)",81748,-1
354,Never Say Die (1939),81775,-1
355,Zootopia,81792,152081
356,Filth (2013),81805,105593
357,Monster (2008),81819,122774
358,Spirited Away,81860,-1
359,The Treasure of the Sierra Madre (1948),81865,1254
360,A Quiet Place to Kill (1970),81878,133093
361,Écoute voir (1979),81881,-1
362,The Magnificent Nine,81898,-1
363,Son of Flubber (1963),81916,2098
364,Miss You Already (2015),81919,144698
365,Rocky Balboa (2006),81968,49651
366,The Prophecy (1995),82001,188
367,The Killer Inside Me (2010),82020,78679
368,Perfume (2001),82022,124544
369,Ruby Sparks (2012),82029,95873
370,Prancer (1989),82041,2400
371,Cyborg X,82075,161288
372,Last Days in Vietnam (2014),82087,127441
373,How to Steal a Million (1966),82145,8033
374,Super Size Me (2004),82153,8464
375,Julia's Eyes (2010),82201,-1
376,Top Secret! (1984),82233,5500
377,The Client (1994),82284,350
378,The Maltese Falcon (1941),82321,913
379,Wallace & Gromit: The Curse of the Were-Rabbit (2005),82330,-1
380,Into Temptation (2009),82346,201256
381,Memories of Murder (2003),82353,-1
382,The Hidden (1987),82380,3576
383,Wall Street (1987),82417,4007
384,The French Connection (1971),82419,1953
385,Coming Home (1978),82421,3724
386,Devil's Knot (2013),82430,110828
387,Something Wicked This Way Comes (1983),82446,2097
388,New Jersey Drive (1995),82467,283
389,The Haunting in Connecticut (2009),82473,67186
390,What's Eating Gilbert Grape (1993),82476,337
391,Jacob and Esau,82484,-1
392,MASH (1970),82497,-1
393,Anonymous (2011),82536,90645
394,Conviction (2010),82537,80939
395,Hardcore Henry (2015),82567,142509
396,The Wild Bunch (1969),82569,599
397,Psycho (1998),82596,2389
398,The Goonies (1985),82602,2005
399,My Super Ex-Girlfriend,82631,45732
400,The Equalizer (2014),82641,112171
401,Waco: A New Revelation (1999),82650,97134
402,Into the Blue (2005),82657,37853
403,Stuart Little (1999),82756,3157
404,Death Race (2008),82763,61248
405,The Star of Santa Clara (1958),82766,-1
406,When We First Met,82775,184015
407,A Perfect World (1993),82795,507
408,Diary of a Wimpy Kid,82808,77206
409,Miles Ahead (2015),82830,-1
410,The Last Unicorn (1982),82857,6093
411,Cannibal (2006),82858,173519
412,Day of the Dead (1985),82871,6731
413,Sex and the City 2 (2010),82876,78174
414,Cabin in the Sky (1943),82893,47493
415,Frozen (2013),82894,106696
416,Minions (2015),82923,135887
417,Heist (2015),82955,146900
418,The Bear (1988),82969,-1
419,The Overnight (2015),82990,127204
420,Day Watch (2006),83006,-1
421,Scream 4 (2011),83057,86295
422,Free Fire (2016),83101,-1
423,The Neon Demon (2016),83105,155064
424,Can-Can (1960),83116,67892
425,Final Destination 5 (2011),83132,88932
426,Acts of Worship (2001),83180,33092
427,What Lies Beneath (2000),83192,3798
428,Ninja Scroll (1993),83236,-1
429,The House (1983),83243,-1
430,It Could Happen to You (1994),83274,361
431,Haunted House (2004),83305,-1
432,Jump (1999),83321,-1
433,The 10th Kingdom,83343,-1
434,The Ruling Class (1972),83370,1162
435,Sleeping Beauty (1959),83388,2096
436,Ricochet (1991),83389,56848
437,Thief (1981),83396,5867
438,The Purge: Election Year (2016),83406,160565
439,Buffy the Vampire Slayer (1992),83430,3264
440,The Thing (2011),83436,90345
441,All About My Mother (1999),83451,-1
442,A Walk to Remember (2002),83472,5066
443,Over the Edge (1979),83489,43177
444,The Bourne Identity (1988),83539,-1
445,Jumanji (2017),83552,-1
446,Night of Dark Shadows (1971),83570,122735
447,Starcrash (1979),83582,-1
448,The Amityville Horror (1979),83586,1327
449,Kevin Hart: Let Me Explain (2013),83617,121155
450,Harry and the Hendersons (1987),83624,3388
451,Table 19 (2017),83655,170401
452,The New Swiss Family Robinson (1998),83675,170833
453,Bananas (1971),83716,1078
454,Five Shaolin Masters (1974),83749,155444
455,Mr. Holland's Opus (1995),83757,62
456,Primal Fear (1996),83766,628
457,Showboy (2002),83775,-1
458,Ella Enchanted (2004),83789,7380
459,Europa Report (2013),83790,103306
460,True Grit (2010),83814,82459
461,Spanglish (2004),83853,27808
462,My Big Love (2008),83896,-1
463,The Central Park Five (2012),83905,99468
464,Strange Circus (2005),83947,-1
465,Hancock (2008),83948,60074
466,Steel Magnolias (2012),83951,-1
467,The Magnificent Seven (1960),83976,4327
468,Donnie Darko (2001),84001,4878
469,127 Hours (2010),84003,81562
470,Castaway (1986),84007,65612
471,Speed Racer (2008),84009,59037
472,Sleeping Beauty (1995),84026,-1
473,The Man Who Knew Too Much (1956),84028,2183
474,Hannibal (1959),84036,160606
475,Charlotte's Web (2006),84097,49647
476,Tank (1984),84100,8634
477,Slap Shot (1977),84153,5292
478,Cloverfield,84195,57368
479,Hiding Out (1987),84201,4115
480,The City of Lost Children (1995),84248,-1
481,Houseguest (1995),84269,-1
482,Pineapple Express (2008),84273,61024
483,Justice League: Gods and Monsters (2015),84310,138104
484,The Wizard (1989),84332,4683
485,Instructions Not Included (2013),84339,-1
486,Paranormal Activity 2 (2010),84363,81417
487,Mickey's Magical Christmas: Snowed in at the House of Mouse,84379,-1
488,Before I Fall (2017),84387,168286
489,Tunisian Victory,84411,133638
490,Ghost Rider (2007),84422,51077
491,Heaven & Earth (1993),84434,465
492,Godfather (2007),84436,-1
493,Girlfight (2000),84456,3915
494,Diva (1981),84473,1264
495,First Kill (2001),84488,-1
496,The Long Voyage Home (1940),84517,48123
497,Smiley (2012),84524,107684
498,Fist of Fury,84553,-1
499,Swimfan (2002),84561,5564
500,The Human Centipede 3 (2015),84571,-1
501,Alien 2: On Earth (1980),84597,165589
502,The Wedding Game (2009),84704,-1
503,Jobs (2013),84710,104303
504,Flatliners (2017),84766,176105
505,Birdman (2014),84769,-1
506,Solitary Man (2009),84772,78774
507,The Triplets of Belleville (2003),84779,-1
508,Manos: The Hands of Fate (1966),84788,26157
509,Pretty Woman (1990),84798,597
510,Noel (2004),84823,30659
511,Two Weeks Notice,84828,5957
512,It (1966),84831,-1
513,Vertigo (1958),84837,903
514,Dracula 2012 (2013),84839,-1
515,The Secret in Their Eyes (2009),84847,-1
516,Shaft (2000),84853,3744
517,Beauty and the Beast (2017),84854,168366
518,The To Do List (2013),84875,105037
519,Futurama: Bender's Big Score,84903,-1
520,Guys and Dolls (1955),84907,3549
521,Heidi (1965),84953,-1
522,Adventures of Captain Marvel (1941),84974,93520
523,Simon Birch (1998),85003,2236
524,The Matrix (1999),85036,2571
525,The Breadwinner (2017),85059,181671
526,Teenage Mutant Ninja Turtles III (1993),85079,3440
527,The Astronaut's Wife (1999),85082,2827
528,Haunted Mansion (1998),85103,-1
529,The Prisoner (2013),85106,-1
530,The Player (1992),85120,2289
531,Dora (2016),85127,-1
532,Little Nicky (2000),85159,3979
533,The Summit (2012),85183,109280
534,The Great Gilly Hopkins (2015),85195,-1
535,Dahmer (2002),85198,8062
536,When Ladies Meet (1933),85204,87558
537,Because of You (1952),85258,-1
538,Bichhoo (2000),85265,-1
539,K2 (1991),85298,69542
540,Patch Adams (1998),85301,2431
541,The Babysitter (1995),85303,217
542,Big Top Pee-wee (1988),85414,-1
543,The Brave Little Toaster (1987),85417,4090
544,This Is 40 (2012),85423,99117
545,The Falls (1980),85430,4935
546,7 Days in Havana (2012),85442,126546
547,A Haunted House (2013),85502,99787
548,The Black Panther (1921),85564,-1
549,Confessions of a Teenage Drama Queen (2004),85566,7316
550,54 (1998),85575,2188
551,Fools Rush In (1949),85577,-1
552,The Texas Chain Saw Massacre (1974),85612,-1
553,American Gangster (2007),85637,55765
554,The Judge (2014),85645,115170
555,Into Thin Air: Death on Everest (1997),85648,134029
556,The Mummy (2017),85662,170827
557,I Love You Phillip Morris (2009),85665,74275
558,The Ninth Gate (1999),85668,3355
559,Freddy Got Fingered (2001),85739,4255
560,Escape (2012),85748,-1
561,Due Date,85750,81537
562,Society (1989),85753,5606
563,Spetters (1980),85755,5249
564,Kick-Ass,85764,76251
565,Men (1997),85799,-1
566,The Thriller (2010),85804,-1
567,Rolling Thunder (1977),85811,7923
568,The Mummy Returns (2001),85832,4270
569,Bandits (1997),85851,2562
570,The Rage: Carrie 2 (1999),85863,2548
571,Inspector Gadget (1999),85868,2720
572,Harry Potter and the Chamber of Secrets (2002),85875,5816
573,Cliffhanger (1993),85879,434
574,Sol Goode (2001),85908,-1
575,From the Hip (1987),85925,2751
576,Austin Powers in Goldmember (2002),85951,5481
577,In the Heart of the Sea (2015),85961,117466
578,Backdraft (1991),85963,3107
579,Dragon: The Bruce Lee Story (1993),85971,5055
580,"Love, Rosie (2014)",86002,115667
581,Wings (1927),86045,1925
582,The Piano (1993),86104,509
583,Dragon Tiger Gate (2006),86128,-1
584,Spy Kids (2001),86152,4232
585,Ayn Rand: A Sense of Life (1996),86164,-1
586,Black Sheep (1996),86168,88
587,Under the Tuscan Sun (2003),86191,6765
588,Nothing like the Holidays (2008),86222,-1
589,Puppets (1916),86240,-1
590,District 9 (2009),86245,70286
591,Godfather (1991),86246,-1
592,Dudley Do-Right (1999),86268,2828
593,G.I. Joe: The Rise of Cobra (2009),86272,70336
594,JeruZalem (2015),86345,-1
595,Red Dust (2004),86357,-1
596,Batman Forever (1995),86397,153
597,Children of the Corn (1984),86414,2122
598,The Departed (2006),86428,48516
599,The Howling (1981),86438,-1
600,The Death of Stalin,86439,179119
601,American Psycho 2 (2002),86442,-1
602,The Net (1995),86449,185
603,Predators (2010),86490,79057
604,The Jungle Book (1994),86506,362
605,Indian Summer (1993),86536,5589
606,The Ten Commandments (1956),86569,7386
607,Nanny McPhee (2005),86573,43560
608,Take the Money and Run (1969),86576,1963
609,The World According to Garp (1982),86619,4280
610,Race to Witch Mountain (2009),86652,70305
611,Pain & Gain (2013),86699,102033
612,Thoracocare,86728,-1
613,Tarzan & Jane (2002),86733,174541
614,Five Children and It (2004),86772,44155
615,Drumline (2002),86815,5941
616,Return of the Living Dead,86819,4533
617,Ed (1996),86827,619
618,Bride of Chucky (1998),86831,-1
619,Smurfs: The Lost Village (2017),86837,170627
620,Finding Kind (2011),86838,-1
621,Death Proof (2007),86841,53519
622,Ninja Over the Great Wall (1987),86844,-1
623,Ruz (2009),86879,-1
624,Spies (1943),86889,-1
625,And Then There Were None (1974),86912,-1
626,A River Runs Through It (1992),86923,3100
627,W (2014),86927,-1
628,The Inn of the Sixth Happiness (1958),86934,6630
629,The Duff (2015),86940,-1
630,Rudolph and Frosty's Christmas in July,86986,149574
631,Incarnate (2016),86987,168352
632,Legion (2010),86995,73929
633,Love at Sea (1965),87017,-1
634,G.I. Jane (1997),87033,1586
635,It Came from Outer Space (1953),87048,2661
636,Tom and Jerry: The Fast and the Furry,87060,137389
637,Pets,87064,121707
638,Casino Royale,87081,5796
639,The Walking Dead (1936),87084,8220
640,Changeling (2008),87090,63062
641,King Kong (1933),87092,2366
642,Hollywood Homicide (2003),87094,6484
643,God's Not Dead 2 (2016),87114,162660
644,Pocahontas (1995),87115,48
645,Black Mask 2: City of Masks (2002),87132,-1
646,Underworld: Awakening (2012),87156,91974
647,The Last Man on Earth (1964),87161,-1
648,Beethoven's 4th (2001),87178,-1
649,Whisper of the Heart,87187,-1
650,The Sitter (2011),87193,91323
651,Sing! (2001),87208,-1
652,Hotel Transylvania (2012),87223,97225
653,Weekend (2011),87231,91199
654,The Toxic Avenger (1984),87249,-1
655,The Gnome-Mobile (1967),87270,2047
656,Lilo & Stitch,87294,5444
657,Z movie,87296,-1
658,Spartan (2004),87385,7348
659,Magnolia (1999),87411,3160
660,Journey 2: The Mysterious Island (2012),87413,92681
661,3 Days to Kill (2014),87451,109569
662,Delivery Man,87457,106540
663,Silent Hill: Revelation (2012),87473,-1
664,Rocky (1981),87476,-1
665,The Last Emperor (1987),87488,1960
666,Dr. Strangelove (1964),87490,-1
667,The Great Mouse Detective,87521,2048
668,Wilson (2017),87532,168714
669,The Night of the Iguana (1964),87541,7944
670,The Temptress (1926),87608,88595
671,The Train (2011),87612,-1
672,Brother Bear,87655,6889
673,The Time Traveler's Wife (2009),87664,70599
674,The Man in the Iron Mask (1998),87672,1801
675,Broken Flowers (2005),87674,34437
676,Blue Chips (1994),87689,424
677,Death Racers (2008),87741,116758
678,Ocean's Thirteen (2007),87745,53322
679,Lucas (1986),87787,3480
680,Sunshine Cleaning (2008),87826,67267
681,Miracles from Heaven (2016),87864,155583
682,The Devil's Rejects (2005),87867,34323
683,Raw (2016),87886,-1
684,Mixed Nuts (1994),87891,275
685,The Chef (2012),87910,-1
686,Carriers (2009),87927,73168
687,Why Did I Get Married%3F (2007),87947,-1
688,One Fine Day (1996),87954,605
689,I Kill Giants,87999,185033
690,National Lampoon's Pledge This!,88002,-1
691,Just My Luck (2006),88006,43930
692,Tangled (2001),88029,138616
693,Knights of the Round Table (1953),88051,6520
694,Robbery (2015),88102,160233
695,Insidious: Chapter 2 (2013),88113,104908
696,Saving Private Ryan (1998),88141,2028
697,The Hours (2002),88142,5992
698,The Warlords (2007),88150,-1
699,It's Kind of a Funny Story (2010),88172,80693
700,The Harvey Girls (1946),88234,5375
701,Dutch (1991),88257,26726
702,True Romance (1993),88267,555
703,A Nightmare on Elm Street 5: The Dream Child (1989),88275,1972
704,Dawn of the Dead (1978),88292,7387
705,Bull Durham,88309,3361
706,Scary Movie,88393,3785
707,Seven Samurai (1954),88410,-1
708,Brewster's Millions (1985),88412,4010
709,18 Again! (1988),88444,4462
710,The Baby-Sitters Club (1995),88451,343
711,Orphan (2009),88463,70159
712,Tango & Cash (1989),88467,4673
713,The Phantom of the Opera (1925),88469,25755
714,Underworld: Blood Wars (2017),88484,-1
715,Starman (1984),88486,3699
716,Juno (2007),88487,56367
717,Night of the Comet (1984),88501,2613
718,Snakes on a Plane (2006),88526,46965
719,Black (2015),88597,161326
720,Bride Wars (2009),88624,65585
721,Restrepo (2010),88628,81158
722,Paranormal Activity,88653,71379
723,9 to 5 (1980),88655,-1
724,Jeepers Creepers 2 (2003),88658,6695
725,Sideways (2004),88661,8949
726,The Call (2013),88676,101360
727,Rookie of the Year (1993),88700,5102
728,Eclipse (1994),88703,-1
729,Dior and I (2014),88725,132614
730,Jingle All the Way (1996),88747,1359
731,The Ring (2002),88751,5679
732,Checking Out (2005),88774,-1
733,Way of the Dragon (1972),88826,-1
734,Godzilla vs. Hedorah (1971),88833,-1
735,Love Bite (2012),88849,-1
736,Gamer (2009),88936,71254
737,High Fidelity (2000),88957,3481
738,The Naked Gun,88960,128025
739,First Kid (1996),89005,881
740,The Queen of Versailles (2012),89034,96150
741,Balls of Fury (2007),89085,54732
